@ HyperIMU -ianovir - 2018
@ Date:Tue Mar 20 13:16:35 PDT 2018, Sampling Time:20ms

BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z,AK09915_magnetometer.x,AK09915_magnetometer.y,AK09915_magnetometer.z
0.12933107,0.45984375,9.867481,0.0,0.0,0.0,0.0,0.0,0.0
0.12933107,0.45984375,9.867481,0.0,0.0,0.0,0.0,0.0,0.0
0.18681154,0.4263135,9.7812605,0.0,0.0,0.0,0.0,0.0,0.0
0.14849122,0.47900394,9.72857,0.008259631,-0.0011143342,-0.0016393103,0.0,0.0,0.0
0.09101075,0.5029541,9.843531,0.003998573,-0.0037774954,-4.1413645E-5,0.0,0.0,0.0
0.1101709,0.48379397,9.800421,0.0018680438,-0.0016469664,0.006350173,33.600002,20.25,-42.15
0.17244141,0.43110353,9.75731,0.0018680438,-4.9069757E-5,0.007415437,32.4,20.1,-40.350002
0.12933107,0.43110353,9.7142,0.0034659405,0.0010161947,0.003687012,32.25,20.85,-40.95
0.12454102,0.488584,9.81,0.0066617336,0.0026140914,0.006350173,31.800001,21.75,-41.850002
0.100590825,0.46463382,9.77168,0.0018680438,-5.81702E-4,0.0031543798,31.95,20.550001,-40.95
0.10538086,0.4742139,9.829161,-0.0045235427,-0.0021795987,4.912186E-4,31.650002,20.85,-42.15
0.06706055,0.44547364,9.73815,-0.008784601,0.00474462,0.003687012,31.95,20.85,-41.7
0.1101709,0.50774413,9.74773,0.0050638374,0.0026140914,0.0031543798,30.900002,21.6,-43.350002
0.17244141,0.5029541,9.77168,0.003998573,-0.0059080245,0.0010238509,32.7,20.400002,-41.850002
0.11496094,0.4981641,9.82437,-0.003990911,-0.0016469664,0.0015564831,33.300003,21.6,-43.65
0.18681154,0.48379397,9.7621,0.0045312047,0.0015488269,0.0047522765,33.45,19.650002,-42.75
0.100590825,0.45505372,9.814791,0.0045312047,0.0036793558,-0.0016393103,33.75,20.400002,-42.75
0.18681154,0.4263135,9.77647,0.007726998,0.0010161947,0.0015564831,32.4,20.7,-42.75
0.20597169,0.46942386,9.7812605,-0.0066540726,-0.00484276,0.009013334,32.7,19.35,-42.300003
0.07185059,0.45984375,9.83874,-0.0013277496,-0.0021795987,0.0031543798,32.7,20.1,-41.550003
0.09101075,0.46463382,9.79563,0.0071943663,-5.81702E-4,0.0042196442,32.100002,19.050001,-41.550003
0.14849122,0.48379397,9.81,0.0018680438,0.0031467236,0.006350173,33.9,20.85,-41.25
0.19160157,0.46463382,9.80521,-0.0029256463,0.0036793558,0.006350173,32.25,19.2,-40.050003
0.12454102,0.4981641,9.77168,8.0277934E-4,-0.00484276,0.0015564831,31.650002,20.85,-40.95
0.1341211,0.45505372,9.74294,-0.0018603818,-0.0011143342,-0.0016393103,34.800003,20.400002,-41.850002
0.1820215,0.3879932,9.82437,0.0018680438,0.0031467236,0.0026217476,33.15,21.45,-42.75
0.09580079,0.488584,9.79084,-0.0018724198,-0.0053884936,0.0047542606,32.550003,19.800001,-41.7
0.09580079,0.52690434,9.83874,-0.009861903,-0.0016600674,0.0010258352,32.25,20.25,-40.95
0.16286133,0.46463382,9.80521,0.0029212702,-0.0021926996,4.9320294E-4,32.25,19.5,-42.15
0.1341211,0.45505372,9.81958,-0.0013397876,0.0010030938,0.0020910995,32.7,21.45,-41.550003
0.119750984,0.5221143,9.77168,-0.0061334777,0.0026009905,0.0010258352,32.550003,21.150002,-40.95
0.14370118,0.5125342,9.79084,-8.071554E-4,0.004731519,-0.005898384,32.100002,20.400002,-41.850002
0.100590825,0.4742139,9.80521,0.0018560058,-0.0016600674,0.0026237317,33.15,20.1,-41.850002
0.14370118,0.46463382,9.77168,0.0013233735,-0.0027253318,0.0010258352,33.0,21.150002,-42.45
0.086220704,0.4742139,9.79563,0.0013233735,-0.0043232283,0.005286893,33.9,19.800001,-42.45
0.19639161,0.45984375,9.83874,-0.005068213,-0.0021926996,-0.0011046937,31.35,20.7,-43.5
0.09101075,0.45026368,9.74773,0.004519167,0.0041988874,-0.0032352228,33.300003,19.5,-41.7
0.14849122,0.41194338,9.7621,0.005051799,0.0026009905,-0.011224706,31.95,22.2,-41.25
0.15328126,0.5364844,9.82437,-0.0013397876,0.0026009905,-0.0021699583,33.75,21.45,-42.300003
0.13891114,0.488584,9.814791,0.0018560058,0.0073946808,-0.0027025905,31.050001,19.650002,-41.100002
0.14370118,0.488584,9.83874,0.0029212702,0.0010030938,0.0026237317,34.050003,20.400002,-41.850002
0.1580713,0.47900394,9.80521,-8.071554E-4,4.7046156E-4,-0.0027025905,32.550003,19.2,-40.95
0.18681154,0.4981641,9.73815,-0.0029376843,0.001535726,-0.0032352228,33.300003,20.25,-42.9
0.14370118,0.4981641,9.877061,0.005051799,-5.948029E-4,-5.720615E-4,32.25,20.25,-41.7
0.19639161,0.45505372,9.82437,-0.0029376843,-0.0016600674,4.9320294E-4,33.45,20.1,-41.850002
0.17723145,0.43110353,9.77168,0.004519167,0.004731519,-3.9429287E-5,32.100002,20.400002,-39.45
0.1820215,0.45505372,9.73815,0.006649696,-0.0011274351,-0.0053657517,31.650002,20.85,-40.5
0.16286133,0.53169435,9.79563,0.0013233735,0.0026009905,0.0015584674,32.4,19.650002,-40.65
0.17244141,0.49337405,9.800421,-0.0013397876,-0.003257964,0.003156364,32.4,20.1,-43.050003
0.12933107,0.3879932,9.81958,0.002388638,0.0031336227,4.9320294E-4,32.7,21.75,-41.100002
0.10538086,0.43589357,9.72857,0.0029353146,0.0036815393,-0.0011070089,32.100002,20.400002,-42.300003
0.11496094,0.43589357,9.77647,0.0018700501,-0.0011121507,0.00102352,33.300003,20.85,-42.45
0.1820215,0.48379397,9.833951,0.0045332112,-0.0027100474,0.010078268,32.7,21.0,-42.300003
0.1580713,0.51732427,9.82437,-0.0013257433,-0.0027100474,4.9088785E-4,32.7,20.1,-43.050003
0.11496094,0.49337405,9.833951,-0.0013257433,-0.001644783,0.003154049,32.100002,21.45,-41.850002
0.14370118,0.45984375,9.75731,0.0013374179,4.8574596E-4,0.0036866812,32.4,20.7,-41.850002
0.12933107,0.45026368,9.766891,-0.0023910077,0.0058120685,0.0015561522,34.5,20.1,-41.550003
0.20118165,0.5460645,9.718989,-0.0023910077,0.0010183782,4.9088785E-4,32.4,20.1,-40.65
0.16765137,0.47900394,9.73815,-0.0018583755,0.0010183782,-4.174438E-5,34.350002,21.6,-40.95
0.12454102,0.43110353,9.77168,8.0478564E-4,0.0010183782,-4.174438E-5,33.75,19.35,-41.850002
0.12454102,0.4406836,9.857901,2.721534E-4,-4.688627E-5,0.0068824748,33.75,20.7,-42.300003
0.14370118,0.47900394,9.78605,-0.0077173295,-0.0021774152,4.9088785E-4,33.0,20.550001,-40.5
0.14849122,0.42152345,9.843531,0.0013374179,0.0026162749,-5.743766E-4,33.15,20.400002,-41.100002
0.16286133,0.5412744,9.78605,-0.0018583755,4.8574596E-4,-5.743766E-4,32.4,20.7,-43.800003
0.09101075,0.43589357,9.733359,0.0013374179,-0.0011121507,-0.00377017,32.7,20.400002,-42.300003
0.14370118,0.46463382,9.7621,0.0045332112,-5.795185E-4,-0.0053680665,32.7,21.0,-41.850002
0.09580079,0.44547364,9.78605,0.0034679468,0.0036815393,0.0036866812,33.300003,20.25,-40.5
0.16286133,0.50774413,9.85311,-0.0045215366,-5.795185E-4,-5.743766E-4,31.800001,20.7,-42.300003
0.17723145,0.46463382,9.75731,2.721534E-4,0.0020836426,0.0058172103,31.35,20.400002,-43.800003
0.17244141,0.46463382,9.77168,-2.6047882E-4,-0.001644783,0.0015561522,33.300003,20.25,-42.9
0.17723145,0.46942386,9.7812605,0.0018700501,0.0026162749,0.0063498425,31.2,20.550001,-42.9
0.09101075,0.45505372,9.74773,-2.6047882E-4,-0.0043079434,0.004751946,34.5,21.0,-42.300003
0.10538086,0.52690434,9.78605,-0.0018583755,-0.001644783,0.0068824748,33.45,21.0,-40.65
0.17244141,0.4742139,9.7812605,0.0050658435,-0.0037753119,-0.0032375378,33.600002,20.25,-40.95
0.081430666,0.42152345,9.766891,-0.0013023361,-0.0016193087,-0.004306661,32.4,20.7,-41.550003
0.22992188,0.46942386,9.77168,-0.0071612904,-0.0026845732,-0.0032413963,32.7,21.45,-41.850002
0.16286133,0.46942386,9.78605,-0.0050307615,-0.0032172054,4.8702932E-4,34.65,19.800001,-41.25
0.14849122,0.5029541,9.7621,-0.0071612904,-0.002151941,-0.0021761318,34.350002,19.2,-42.9
0.1580713,0.44547364,9.766891,-0.006096026,5.112202E-4,-0.0053719254,33.600002,20.25,-42.15
0.086220704,0.41194338,9.901011,0.0024260895,0.0015764846,0.0026175582,33.45,21.0,-41.100002
0.16286133,0.5508545,9.7621,2.9556057E-4,0.002641749,0.0031501905,32.4,21.0,-41.550003
0.16286133,0.50774413,9.81958,-0.0018349683,-0.005347735,-0.0032413963,32.4,22.050001,-41.100002
0.11496094,0.44547364,9.77168,-7.697039E-4,5.112202E-4,0.0031501905,33.0,21.150002,-41.25
0.13891114,0.45026368,9.72378,0.006154515,0.0010438524,-0.0016434996,32.550003,19.800001,-42.9
0.14370118,0.43589357,9.83874,2.9556057E-4,-0.009608792,-0.0048392927,32.25,20.85,-40.95
