@ HyperIMU -ianovir - 2018
@ Date:Tue Mar 20 17:14:29 PDT 2018, Sampling Time:20ms

BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z,AK09915_magnetometer.x,AK09915_magnetometer.y,AK09915_magnetometer.z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.038320314,0.30177248,9.68067,0.008045627,0.006447503,-0.002168944,25.500002,-5.55,-38.850002
-0.043110352,0.3544629,9.7142,0.0016540405,0.002186445,0.0036900104,23.400002,-4.65,-38.850002
-0.028740235,0.32572266,9.81,5.614384E-5,0.0032517095,0.0058205393,25.35,-5.8500004,-37.95
-0.043110352,0.37362307,9.690249,0.006980363,5.5916258E-5,0.0036900104,25.35,-5.4,-38.7
0.07185059,0.29698244,9.73815,5.614384E-5,0.0032517095,-0.0016363119,24.300001,-3.7500002,-38.7
-0.009580079,0.37362307,9.69504,-0.0052701784,-0.0015419804,-0.0037668408,25.35,-6.15,-38.7
-0.019160157,0.34009278,9.623189,-0.0015417528,0.006980135,0.0010268493,24.300001,-4.5,-39.9
-0.019160157,0.39757326,9.685459,-0.0026070173,-0.0036725095,0.0031573782,23.85,-6.0,-39.75
